Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Chile,S. America,Santiago,CHL,,,,,,,,,,,,,,,,,,,,
China,Asia,Beijing,CHN,,,,,,,,,,,,,,,,,,,,
Colombia,S. America,Bogotá,COL,,,,,,,,,,,,,,,,,,,,
Comoros,Africa,Moroni,COM,,,,,,,,,,,,,,,,,,,,
Congo,Africa,Brazzaville,COG,,,,,,,,,,,,,,,,,,,,
Costa Rica,N. America,San José,CRI,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,Yamoussoukro,CIV,,,,,,,,,,,,,,,,,,,,
Croatia,Europe,Zagreb,HRV,,,,,,,,,,,,,,,,,,,,
Cuba,N. America,Havana,CUB,,,,,,,,,,,,,,,,,,,,
Cyprus,Asia,Nicosia,CYP,,,,,,,,,,,,,,,,,,,,
Czech Republic (Czechia),Europe,Prague,CZE,,,,,,,,,,,,,,,,,,,,
Denmark,Europe,Copenhagen,DNK,,,,,,,,,,,,,,,,,,,,
Djibouti,Africa,Djibouti,DJI,,,,,,,,,,,,,,,,,,,,
Dominica,N. America,Roseau,DMA,,,,,,,,,,,,,,,,,,,,
Dominican Republic,N. America,Santo Domingo,DOM,,,,,,,,,,,,,,,,,,,,
DR Congo,Africa,Kinshasa,COD,,,,,,,,,,,,,,,,,,,,
Ecuador,S. America,Quito,ECU,,,,,,,,,,,,,,,,,,,,
Egypt,Africa,Cairo,EGY,,,,,,,,,,,,,,,,,,,,
El Salvador,N. America,San Salvador,SLV,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,Africa,Malabo,GNQ,,,,,,,,,,,,,,,,,,,,
Eritrea,Africa,Asmara,ERI,,,,,,,,,,,,,,,,,,,,
Estonia,Europe,Tallinn,EST,,,,,,,,,,,,,,,,,,,,
Eswatini,Africa,Mbabane,SWZ,,,,,,,,,,,,,,,,,,,,
Ethiopia,Africa,Addis Ababa,ETH,,,,,,,,,,,,,,,,,,,,
Fiji,Australia,Suva,FJI,,,,,,,,,,,,,,,,,,,,
Finland,Europe,Helsinki,FIN,,,,,,,,,,,,,,,,,,,,
France,Europe,Paris,FRA,This country is the fashion capital of the world.,,This country has the largest museum in the world - home to the Mona Lisa.,,This country is considered the birthplace of the metric system.,https://en.wikipedia.org/wiki/History_of_the_metric_system,The United States was gifted the Statue of Liberty by this country.,https://en.wikipedia.org/wiki/Statue_of_Liberty,"This countries capital is nicknamed the ""City of Light"".",,,,,,,,,,,
Gabon,Africa,Libreville,GAB,,,,,,,,,,,,,,,,,,,,
Gambia,Africa,Banjul,GMB,,,,,,,,,,,,,,,,,,,,
Georgia,Asia,Tbilisi,GEO,,,,,,,,,,,,,,,,,,,,
Germany,Europe,Berlin,DEU,,,,,,,,,,,,,,,,,,,,
Ghana,Africa,Accra,GHA,,,,,,,,,,,,,,,,,,,,
Greece,Europe,Athens,GRC,,,,,,,,,,,,,,,,,,,,
Grenada,N. America,St. George's,GRD,,,,,,,,,,,,,,,,,,,,
Guatemala,N. America,Guatemala City,GTM,,,,,,,,,,,,,,,,,,,,
Guinea,Africa,Conakry,GIN,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,Africa,Bissau,GNB,,,,,,,,,,,,,,,,,,,,
Guyana,S. America,Georgetown,GUY,,,,,,,,,,,,,,,,,,,,
Haiti,N. America,Port-au-Prince,HTI,,,,,,,,,,,,,,,,,,,,
Holy See,Europe,Vatican City,VAT,,,,,,,,,,,,,,,,,,,,
Honduras,N. America,Tegucigalpa,HND,,,,,,,,,,,,,,,,,,,,
Hungary,Europe,Budapest,HUN,,,,,,,,,,,,,,,,,,,,
Iceland,Europe,Reykjavik,ISL,,,,,,,,,,,,,,,,,,,,
India,Asia,New Delhi,IND,,,,,,,,,,,,,,,,,,,,
Indonesia,Asia,Jakarta,IDN,,,,,,,,,,,,,,,,,,,,
Iran,Asia,Tehran,IRN,,,,,,,,,,,,,,,,,,,,
Iraq,Asia,Baghdad,IRQ,,,,,,,,,,,,,,,,,,,,
Ireland,Europe,Dublin,IRL,,,,,,,,,,,,,,,,,,,,
Israel,Asia,Jerusalem,ISR,,,,,,,,,,,,,,,,,,,,
Italy,Europe,Rome,ITA,,,,,,,,,,,,,,,,,,,,
Jamaica,N. America,Kingston,JAM,"Since 2017, this country became the only country to have a flag that doesn't have the colors red, white, or blue.",https://en.wikipedia.org/wiki/Flag_of_Jamaica,"This country's only female national hero is known as ""Nanny of the Maroons"" for leading warfare against the British, and is now featured on this country's $500 note.",https://enslaved.org/fullStory/16-23-126814/,This country is just the tip of an underwater mountain,https://kids.nationalgeographic.com/geography/countries/article/jamaica,"Out of top 5 of the fastest runners in the 100m race, 3 of them are from this country",https://www.geeksforgeeks.org/fastest-runners-in-the-world/,"Despite always having a tropical climate, this country had a bobsled team for the Winter Olympics",https://en.wikipedia.org/wiki/Jamaica_national_bobsleigh_team,This country holds the record for most churches per square mile,https://www.visitjamaica.com/discover-jamaica/music-culture/religion-faith/,Ian Fleming wrote all of the Goldeneye novels (James Bond series) in this country,https://www.britannica.com/biography/Ian-Fleming,This country has the world's highest murder rate (2022),https://worldpopulationreview.com/country-rankings/murder-rate-by-country,"This country's national fruit is the ackee, which can cause vomiting sickness and death if not prepared correctly.",https://en.wikipedia.org/wiki/Jamaican_vomiting_sickness,"This country is where the music genre ""Reggae"" originated",https://www.britannica.com/art/reggae
Japan,Asia,Tokyo,JPN,The Curse of the Colonel,https://www.thehanshintigers.com/team-history/top-10-infamous-moments/the-curse-of-colonel-sanders/,This country has more adult diaper sales surpassing baby diaper sales,https://www.businessinsider.com/japan-company-shifts-adult-diapers-due-low-birth-rates-babies-2024-3?utm_source=chatgpt.com,This country has a vending machine for every 23 people.,https://youtu.be/9UJzVLXmBG4?si=OZnK2VJxA74A2ECA,This country uses blue traffic lights instead of green because of historical language quirks behind the word blue.,https://en.wikipedia.org/wiki/Traffic_light,"This country provides ""corpse hotels"" where deceased loved ones are placed into a refridgerated capsule until a funeral can be arranged",https://www.nytimes.com/2017/07/01/world/asia/japan-corpse-hotels.html,"This country holds a ""Crying Baby Sumo"" competition, where sumo wrestlers hold babies in a ring and try to make them cry first.",https://en.wikipedia.org/wiki/Naki_Sumo_Crying_Baby_Festival,"This country annually hosts the ""Penis Festival,"" meant to promote sexual health awareness.",https://www.japan.travel/en/spot/362/,"This country has a ""Rabbit Island,"" occupied majorly by rabbits, which was formely a secret poison gas factory.",https://www.japan.travel/en/spot/871/,This country has a rent-a-family service.,https://en.wikipedia.org/wiki/Rental_family_service,"This country has a place known as the ""Suicide Forest,"" with dense trees that make the area eerily silent.",https://en.wikipedia.org/wiki/Aokigahara
Jordan,Asia,Amman,JOR,,,,,,,,,,,,,,,,,,,,
Kazakhstan,Asia,Nur-Sultan,KAZ,,,,,,,,,,,,,,,,,,,,
Kenya,Africa,Nairobi,KEN,,,,,,,,,,,,,,,,,,,,
Kiribati,Australia,South Tarawa,KIR,,,,,,,,,,,,,,,,,,,,
Kuwait,Asia,Kuwait City,KWT,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Asia,Bishkek,KGZ,,,,,,,,,,,,,,,,,,,,
Laos,Asia,Vientiane,LAO,"This country has an archaeological site named ""Plain of Jars"", which features thousands of stone jars",https://whc.unesco.org/en/list/1587/,This country celebrates New Year's during April with a water festival!,https://kampatour.com/lao-new-year,"This country is also known as the ""Land of a Million Elephants."" ",https://iowaonline.uni.edu/folklife_v2/lessons/laos.pdf,"This country houses a phenomena named the ""Naga Fireballs,"" where glowing fireballs are seen rising from the river.",https://www.sciencetimes.com/articles/47637/20231213/naga-fireballs-explained-understanding-thailand-s-mysterious-blobs-rising-mekong.htm,"Despite being landlocked, this country has a region called ""4000 Islands.""",https://en.wikipedia.org/wiki/Si_Phan_Don,"This country has the highest sticky-rice consumption per capita than any other country,",https://en.wikipedia.org/wiki/Lao_cuisine,This country's flag originally featured a white three-headed elephant on a pedestal.,https://en.wikipedia.org/wiki/Flag_of_Laos,"This country traditionally holds a Rocket Festival, where they construct and launch homemade rockets.",https://en.wikipedia.org/wiki/Rocket_Festival,This country is the most bombed country in the world.,https://www.halotrust.org/where-we-work/south-asia/laos/,"This country's traditional greeting is called ""Nop,"" where they place two hands together in prayer position at chest level.",https://culturalatlas.sbs.com.au/lao-culture/lao-culture-greetings
Latvia,Europe,Riga,LVA,,,,,,,,,,,,,,,,,,,,
Lebanon,Asia,Beirut,LBN,,,,,,,,,,,,,,,,,,,,
Lesotho,Africa,Maseru,LSO,,,,,,,,,,,,,,,,,,,,
Liberia,Africa,Monrovia,LBR,,,,,,,,,,,,,,,,,,,,
Libya,Africa,Tripoli,LBY,,,,,,,,,,,,,,,,,,,,
Liechtenstein,Europe,Vaduz,LIE,,,,,,,,,,,,,,,,,,,,
Lithuania,Europe,Vilnius,LTU,,,,,,,,,,,,,,,,,,,,
Luxembourg,Europe,Luxembourg City,LUX,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa,Antananarivo,MDG,,,,,,,,,,,,,,,,,,,,
Malawi,Africa,Lilongwe,MWI,,,,,,,,,,,,,,,,,,,,
Malaysia,Asia,Kuala Lumpur,MYS,,,,,,,,,,,,,,,,,,,,
Maldives,Asia,Male,MDV,,,,,,,,,,,,,,,,,,,,
Mali,Africa,Bamako,MLI,,,,,,,,,,,,,,,,,,,,
Malta,Europe,Valletta,MLT,,,,,,,,,,,,,,,,,,,,
Marshall Islands,Australia,Majuro,MHL,,,,,,,,,,,,,,,,,,,,
Mauritania,Africa,Nouakchott,MRT,,,,,,,,,,,,,,,,,,,,
Mauritius,Africa,Port Louis,MUS,,,,,,,,,,,,,,,,,,,,
Mexico,N. America,Mexico City,MEX,"This country's capital city is gradually sinking, with estimates suggesting a descent of up to 12 centimeters annually.",https://www.contiki.com/six-two/article/fun-facts-about-mexico/?utm_source=chatgpt.com,"Home to the world's largest pyramid by volume, surpassing even Egypt's Great Pyramid of Giza.",https://www.contiki.com/six-two/article/fun-facts-about-mexico/?utm_source=chatgpt.com,"There's an eerie island where thousands of dolls hang from trees, believed to appease a young girl's spirit.",https://en.wikipedia.org/wiki/The_Island_of_the_Dolls?utm_source=chatgpt.com,"A vast network of tunnels, thought to be up to 500 years old, was discovered beneath a major city in this country in 2015.",https://en.wikipedia.org/wiki/Puebla_tunnels?utm_source=chatgpt.com,Native salamanders possess the remarkable ability to regenerate limbs and even parts of their brain and heart.,https://www.lemonde.fr/planete/article/2024/08/26/au-mexique-les-axolotls-de-fascinantes-salamandres-placees-sous-la-protection-de-religieuses-dominicaines_6295794_3244.html?utm_source=chatgpt.com,A bridal shop in this country features a mannequin rumored to be the embalmed corpse of the previous owner's daughter.,https://en.wikipedia.org/wiki/Ghosts_in_Mexican_culture?utm_source=chatgpt.com,"Due to unique climatic conditions, bodies interred in a certain area of this country naturally mummify and are now displayed in a dedicated museum.",https://en.wikipedia.org/wiki/Mummies_of_Guanajuato?utm_source=chatgpt.com,"Residents of a coastal city from this country believe it's shielded from hurricanes by an underwater alien base, with no direct hits since 1967.",https://www.the-sun.com/news/13155656/amupac-alien-base-mexico/?utm_source=chatgpt.com,"In certain indigenous cultures of this country, a third gender known as ""Muxe"" is recognized and has been an integral part of the community for centuries.",https://www.contiki.com/six-two/article/fun-facts-about-mexico/?utm_source=chatgpt.com,"An annual event in this country showcases large, colorful sculptures of fantastical creatures, celebrating a unique form of folk art.",https://en.wikipedia.org/wiki/Mexico_City_Alebrije_Parade?utm_source=chatgpt.com
Micronesia,Australia,Palikir,FSM,,,,,,,,,,,,,,,,,,,,
Moldova,Europe,Chisinau,MDA,,,,,,,,,,,,,,,,,,,,
Monaco,Europe,Monaco,MCO,,,,,,,,,,,,,,,,,,,,
Mongolia,Asia,Ulaanbaatar,MNG,,,,,,,,,,,,,,,,,,,,
Montenegro,Europe,Podgorica,MNE,,,,,,,,,,,,,,,,,,,,
Morocco,Africa,Rabat,MAR,"There's a city where all buildings are painted in various shades of blue, creating a tranquil and picturesque atmosphere.",https://www.elegantresorts.co.uk/eleganttraveller/story/ten-interesting-facts-about-morocco?utm_source=chatgpt.com,"This country is home to the world's oldest continuously operating university, founded in 859 AD.",https://www.nativemorocco.com/post/10-things-you-didn-t-know-about-morocco?utm_source=chatgpt.com,"By law, all buildings in a major city from this country must be painted red, earning it the nickname 'the Red City'.",https://www.originaltravel.co.uk/travel-guide/morocco/fun-facts?utm_source=chatgpt.com,"In certain regions of this country, goats can be seen climbing argan trees to eat their fruit, a behavior unique to this area.",https://www.nationalgeographic.com/travel/article/video-watch-bizarre-tree-climbing-goats-in-action-morocco?utm_source=chatgpt.com,"In local culture, the liver, rather than the heart, is considered the symbol of love.",https://www.originaltravel.co.uk/travel-guide/morocco/fun-facts?utm_source=chatgpt.com,"This country has become a hotspot for meteorite hunting, with numerous finds since the late 1990s.",https://www.wired.com/story/morocco-meteorites-saharan-gold-rush/?utm_source=chatgpt.com,"This country features historical underground vaults, often referred to as a prison, with legends of vast, maze-like chambers.",https://en.wikipedia.org/wiki/Qara_Prison?utm_source=chatgpt.com,"This countrty boasts four imperial cities, each having served as the nation's capital at different times.",https://www.trafalgar.com/real-word/facts-about-morocco/?utm_source=chatgpt.com,,,,
Mozambique,Africa,Maputo,MOZ,,,,,,,,,,,,,,,,,,,,
Myanmar,Asia,Naypyidaw,MMR,,,,,,,,,,,,,,,,,,,,
Namibia,Africa,Windhoek,NAM,,,,,,,,,,,,,,,,,,,,
Nauru,Australia,Yaren District,NRU,,,,,,,,,,,,,,,,,,,,
Nepal,Asia,Kathmandu,NPL,,,,,,,,,,,,,,,,,,,,
Netherlands,Europe,Amsterdam,NLD,,,,,,,,,,,,,,,,,,,,
New Zealand,Australia,Wellington,NZL,,,,,,,,,,,,,,,,,,,,
Nicaragua,N. America,Managua,NIC,,,,,,,,,,,,,,,,,,,,
Niger,Africa,Niamey,NER,,,,,,,,,,,,,,,,,,,,
Nigeria,Africa,Abuja,NGA,,,,,,,,,,,,,,,,,,,,
North Korea,Asia,Pyongyang,PRK,Jeans are banned in this country,https://www.bbc.com/news/world-asia-68664644.amp,Mandatory military service last up to a decade here,https://www.cia.gov/the-world-factbook/field/military-service-age-and-obligation/,This country has 100% literacy rate as reported,https://www.cia.gov/the-world-factbook/countries/korea-north/#people-and-society,This country has its own set of basketball rules different from the rest of the world,The true story behind North Korea’s bizarre basketball rules | NK News,Has the most militarized border in the world,"Kim, Eleana. “The Flight of Cranes: Militarized Nature at the North Korea–South Korea Border.” RCC Perspectives, no. 3, 2014, pp. 65–70. JSTOR, http://www.jstor.org/stable/26241252. Accessed 5 Feb. 2025.",Slightly larger than Virginia; slightly smaller than Mississippi,"Korea, North - The World Factbook",99.998% ethnically homogenous,https://en.wikipedia.org/wiki/Demographics_of_North_Korea,Latest state to declare nuclear weapons in 2006,https://www.britannica.com/technology/list-of-states-with-nuclear-weapons-2227841,"International calls are illegal, but marijuana is legal","https://www.huffpost.com/entry/marijuana-in-north-korea_n_4067341?utm_hp_ref=tw, https://www.rfa.org/english/news/korea/phone-06162021200510.html","Has stadium with world's largest capacity of 150,000 people",https://www.usatoday.com/story/sports/2024/07/28/biggest-largest-stadiums-in-world/74462698007/
North Macedonia,Europe,Skopje,MKD,,,,,,,,,,,,,,,,,,,,
Norway,Europe,Oslo,NOR,,,,,,,,,,,,,,,,,,,,
Oman,Asia,Muscat,OMN,,,,,,,,,,,,,,,,,,,,
Pakistan,Asia,Islamabad,PAK,,,,,,,,,,,,,,,,,,,,
Palau,Australia,Ngerulmud,PLW,,,,,,,,,,,,,,,,,,,,
Panama,N. America,Panama City,PAN,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Australia,Port Moresby,PNG,,,,,,,,,,,,,,,,,,,,
Paraguay,S. America,Asunción,PRY,,,,,,,,,,,,,,,,,,,,
Peru,S. America,Lima,PER,,,,,,,,,,,,,,,,,,,,
Philippines,Asia,Manila,PHL,,,,,,,,,,,,,,,,,,,,
Poland,Europe,Warsaw,POL,Home to the world biggest castle.,https://www.trafalgar.com/real-word/facts-poland/,Home to the world's oldest salt mine that you can still actually visit. Has a hidden church deep underground.,https://www.trafalgar.com/real-word/facts-poland/,Vodka originated from this country.,https://www.trafalgar.com/real-word/facts-poland/,The world's first upside down house was built here.,https://www.trafalgar.com/real-word/facts-poland/,96% of this countries citizens identify as Roman Catholic.,https://www.swiftpassportservices.com/blog/20-fun-facts-aboutpoland/,"In this country, Name Day celebrations are greater than their actual birthday.",https://www.swiftpassportservices.com/blog/20-fun-facts-aboutpoland/,This country has the second constitution in the world.,https://www.swiftpassportservices.com/blog/20-fun-facts-aboutpoland/,Home to 17 UNESCO World Heritage sites.,https://www.swiftpassportservices.com/blog/20-fun-facts-aboutpoland/,The first women to win a Nobel Prize was born in this country.,https://awaytothecity.com/fun-facts-about-poland/,"Home to one of the world's oldest restaurants, serving customers from 1273 (over 750 years).",https://awaytothecity.com/fun-facts-about-poland/
Portugal,Europe,Lisbon,PRT,,,,,,,,,,,,,,,,,,,,
Qatar,Asia,Doha,QAT,,,,,,,,,,,,,,,,,,,,
Romania,Europe,Bucharest,ROM,,,,,,,,,,,,,,,,,,,,
Russia,Europe,Moscow,RUS,,,,,,,,,,,,,,,,,,,,
Rwanda,Africa,Kigali,RWA,,,,,,,,,,,,,,,,,,,,
Saint Kitts & Nevis,N. America,Basseterre,KNA,,,,,,,,,,,,,,,,,,,,
Saint Lucia,N. America,Castries,LCA,,,,,,,,,,,,,,,,,,,,
Samoa,Australia,Apia,WSM,,,,,,,,,,,,,,,,,,,,
San Marino,Europe,San Marino,SMR,,,,,,,,,,,,,,,,,,,,
Sao Tome & Principe,Africa,São Tomé,STP,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Asia,Riyadh,SAU,,,,,,,,,,,,,,,,,,,,
Senegal,Africa,Dakar,SEN,,,,,,,,,,,,,,,,,,,,
Serbia,Europe,Belgrade,SRB,,,,,,,,,,,,,,,,,,,,
Seychelles,Africa,Victoria,SYC,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Africa,Freetown,SLE,,,,,,,,,,,,,,,,,,,,
Singapore,Asia,Singapore,SGP,,,,,,,,,,,,,,,,,,,,
Slovakia,Europe,Bratislava,SVK,,,,,,,,,,,,,,,,,,,,
Slovenia,Europe,Ljubljana,SVN,The most common name here is Franc for men and Marija for women,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,The oldest vinyard in the world is located here,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,At least 60% of the population work out at least 3 hours a week,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,"An average person here eats around 123 kg of wheat products, 111 kg of vegetables, 93 kg of meat, 88 kg of fruit, 67 kg of potatoes, 11 kg of eggs, 5kg of rice and 1kg of honey per year",https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,The first married couple to climb Mount Everest came from here,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,"There are around 90,000 beekeepers in this country",https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,"More than half of the country is covered with forests, making it one of the greenest countries in the world",https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,A remarkable 53.6 percent of this countries land is protected,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,This country has one of the largest underground canyons in the world,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/,There is only 46.6 kilometres of coastline here,https://the-slovenia.com/en/slovenia/top-100-facts-about-slovenia/
Solomon Islands,Australia,Honiara,SLB,,,,,,,,,,,,,,,,,,,,
Somalia,Africa,Mogadishu,SOM,,,,,,,,,,,,,,,,,,,,
South Africa,Africa,Cape Town,ZAF,Nelson Mandela is from here,https://en.wikipedia.org/wiki/Nelson_Mandela,Maintain three capital cities,https://en.wikipedia.org/wiki/South_Africa,"Home to ""cradle of humankind"" that is considered birth place of humanity",https://en.wikipedia.org/wiki/Cradle_of_Humankind,"Only place for ""big five"" animals",https://en.wikipedia.org/wiki/Big_Five_game,"World's longest wine ""route 62"" is located.","https://en.wikipedia.org/wiki/Route_62_(South_Africa)#:~:text=Also%20known%20as%20the%20Wine,wine%20routes%20in%20the%20world.",Elon Musk was born here.,Elon Musk - Wikipedia,Most number of Afrikaans spoken here.,Afrikaans - Wikipedia,"Gained independence from British Empire in May 31, 1910.",South Africa - Wikipedia,Hosted 2010 World Cup.,2010 FIFA World Cup - Wikipedia,Ranked 40th for nominal GDP in 2023.,List of countries by GDP (nominal) - Wikipedia
South Korea,Asia,Seoul,KOR,"This country has a national holiday for poky stick or ""pepero"" snack on November 11th.",https://en.wikipedia.org/wiki/Pepero_Day,The earliest recorded food delivery in this country dates back to 1768.,https://en.wikipedia.org/wiki/Delivery_culture_in_South_Korea,This country has the oldest surviving astronomical observatory in the world.,https://en.wikipedia.org/wiki/Cheomseongdae,One of its kings invented the language used in this country.,https://en.m.wikipedia.org/wiki/Sejong_the_Great,Worlds 9th largest military by active personnel.,https://www.statista.com/statistics/264443/the-worlds-largest-armies-based-on-active-force-level/,"This country has its own unique liquor called ""soju""",https://en.m.wikipedia.org/wiki/Soju,Highest tertiary education between 25-34 years of age.,https://asiaexchange.org/blogs/15-stunning-facts-about-south-korea/,This country has urban myth that fans in closed rooms can kill someone. ,https://www.npr.org/sections/parallels/2015/08/09/430341089/south-koreas-quirky-notions-about-electric-fans,"This country has a traditional clothing called ""hanbok""",https://en.m.wikipedia.org/wiki/Hanbok,This country has most number of dolmen structures.,https://en.m.wikipedia.org/wiki/List_of_dolmens
South Sudan,Africa,Juba,SSD,,,,,,,,,,,,,,,,,,,,
Spain,Europe,Madrid,ESP,,,,,,,,,,,,,,,,,,,,
Sri Lanka,Asia,Sri Jayawardenepura Kotte,LKA,,,,,,,,,,,,,,,,,,,,
St. Vincent & Grenadines,N. America,Kingstown,VCT,,,,,,,,,,,,,,,,,,,,
State of Palestine,Asia,Ramallah,PSE,,,,,,,,,,,,,,,,,,,,
Sudan,Africa,Khartoum,SDN,,,,,,,,,,,,,,,,,,,,
Suriname,S. America,Paramaribo,SUR,,,,,,,,,,,,,,,,,,,,
